label,ch0_norm,ch1_norm,ch2_norm,ch3_norm,ch4_norm,qw,qx,qy,qz
K,0.0000,0.0000,0.0000,0.8715,1.0000,0.1754,-0.7188,-0.1964,-0.6434
K,0.0000,0.0000,0.0000,0.8697,1.0000,0.1750,-0.7230,-0.1966,-0.6387
K,0.0000,0.0000,0.0000,0.8674,1.0000,0.1752,-0.7215,-0.1956,-0.6407
K,0.0000,0.0000,0.0000,0.8680,1.0000,0.1752,-0.7209,-0.1947,-0.6416
K,0.0000,0.0000,0.0000,0.8703,1.0000,0.1752,-0.7208,-0.1954,-0.6415
K,0.0000,0.0000,0.0000,0.8697,1.0000,0.1755,-0.7188,-0.1962,-0.6434
K,0.0000,0.0000,0.0000,0.8751,1.0000,0.1755,-0.7188,-0.1962,-0.6434
K,0.0000,0.0000,0.0000,0.8816,1.0000,0.1757,-0.7175,-0.1967,-0.6447
K,0.0000,0.0000,0.0000,0.8857,1.0000,0.1747,-0.7173,-0.1978,-0.6448
K,0.0000,0.0000,0.0000,0.9017,1.0000,0.1732,-0.7195,-0.2003,-0.6420
K,0.0000,0.0000,0.0000,0.9005,1.0000,0.1721,-0.7189,-0.2009,-0.6428
K,0.0000,0.0000,0.0000,0.8934,1.0000,0.1714,-0.7205,-0.1986,-0.6420
K,0.0000,0.0000,0.0000,0.8970,1.0000,0.1708,-0.7218,-0.1982,-0.6407
K,0.0000,0.0000,0.0000,0.8970,1.0000,0.1707,-0.7206,-0.1993,-0.6417
K,0.0000,0.0000,0.0000,0.8976,1.0000,0.1711,-0.7207,-0.1996,-0.6414
K,0.0000,0.0000,0.0000,0.8976,1.0000,0.1701,-0.7223,-0.1998,-0.6398
K,0.0000,0.0000,0.0000,0.8745,1.0000,0.1705,-0.7204,-0.2001,-0.6418
K,0.0000,0.0000,0.0000,0.8733,1.0000,0.1705,-0.7198,-0.1994,-0.6427
K,0.0000,0.0000,0.0000,0.8733,1.0000,0.1700,-0.7202,-0.1997,-0.6423
K,0.0000,0.0000,0.0000,0.8703,1.0000,0.1697,-0.7191,-0.2006,-0.6433
K,0.0000,0.0000,0.0000,0.8828,1.0000,0.1690,-0.7195,-0.2007,-0.6430
K,0.0000,0.0000,0.0000,0.8822,1.0000,0.1659,-0.7219,-0.2002,-0.6412
K,0.0000,0.0000,0.0000,0.8780,1.0000,0.1651,-0.7260,-0.1998,-0.6370
K,0.0000,0.0000,0.0000,0.8763,1.0000,0.1651,-0.7269,-0.1987,-0.6362
K,0.0000,0.0000,0.0000,0.8769,1.0000,0.1650,-0.7269,-0.1987,-0.6364
K,0.0000,0.0000,0.0000,0.8780,1.0000,0.1649,-0.7261,-0.1993,-0.6371
K,0.0000,0.0000,0.0000,0.8804,1.0000,0.1651,-0.7258,-0.1992,-0.6375
K,0.0000,0.0000,0.0000,0.8798,1.0000,0.1652,-0.7252,-0.1989,-0.6382
K,0.0000,0.0000,0.0000,0.8780,1.0000,0.1658,-0.7239,-0.1993,-0.6394
K,0.0000,0.0000,0.0000,0.8822,1.0000,0.1658,-0.7233,-0.1997,-0.6399
K,0.0000,0.0000,0.0000,0.8816,1.0000,0.1663,-0.7224,-0.2001,-0.6407
K,0.0000,0.0000,0.0000,0.8810,1.0000,0.1666,-0.7211,-0.1998,-0.6421
K,0.0000,0.0000,0.0000,0.8828,1.0000,0.1664,-0.7222,-0.1998,-0.6410
K,0.0000,0.0000,0.0000,0.8964,1.0000,0.1662,-0.7227,-0.2003,-0.6404
K,0.0000,0.0000,0.0000,0.9082,1.0000,0.1664,-0.7222,-0.2000,-0.6409
K,0.0000,0.0000,0.0000,0.9029,1.0000,0.1667,-0.7242,-0.2003,-0.6385
K,0.0000,0.0000,0.0000,0.8899,1.0000,0.1671,-0.7235,-0.2003,-0.6391
K,0.0000,0.0000,0.0000,0.8928,1.0000,0.1678,-0.7234,-0.2007,-0.6389
K,0.0000,0.0000,0.0000,0.8851,1.0000,0.1676,-0.7255,-0.2009,-0.6365
K,0.0000,0.0000,0.0000,0.8840,1.0000,0.1689,-0.7260,-0.2009,-0.6357
K,0.0000,0.0000,0.0000,0.8840,1.0000,0.1694,-0.7266,-0.2004,-0.6349
K,0.0000,0.0000,0.0000,0.8875,1.0000,0.1694,-0.7288,-0.2008,-0.6323
K,0.0000,0.0000,0.0000,0.8845,1.0000,0.1691,-0.7299,-0.2007,-0.6312
K,0.0000,0.0000,0.0000,0.8798,1.0000,0.1693,-0.7299,-0.2009,-0.6310
K,0.0000,0.0000,0.0000,0.8834,1.0000,0.1694,-0.7291,-0.2013,-0.6318
K,0.0000,0.0000,0.0000,0.8899,1.0000,0.1700,-0.7272,-0.2007,-0.6340
K,0.0000,0.0000,0.0000,0.9130,1.0000,0.1703,-0.7275,-0.2006,-0.6336
K,0.0000,0.0000,0.0000,0.9047,1.0000,0.1711,-0.7264,-0.2005,-0.6347
K,0.0000,0.0000,0.0000,0.9088,1.0000,0.1712,-0.7269,-0.1998,-0.6343
K,0.0000,0.0000,0.0000,0.9147,1.0000,0.1708,-0.7280,-0.2003,-0.6330
K,0.0000,0.0000,0.0000,0.8982,1.0000,0.1705,-0.7267,-0.2000,-0.6347
K,0.0000,0.0000,0.0000,0.9112,1.0000,0.1714,-0.7273,-0.2005,-0.6335
K,0.0000,0.0000,0.0000,0.9195,1.0000,0.1743,-0.7245,-0.2004,-0.6360
K,0.0000,0.0000,0.0000,0.9349,1.0000,0.1765,-0.7220,-0.1986,-0.6388
K,0.0000,0.0000,0.0000,0.9177,1.0000,0.1783,-0.7192,-0.2000,-0.6410
K,0.0000,0.0000,0.0000,0.9449,1.0000,0.1769,-0.7215,-0.2010,-0.6385
K,0.0000,0.0000,0.0000,0.9307,1.0000,0.1767,-0.7222,-0.2000,-0.6381
K,0.0000,0.0000,0.0000,0.9070,1.0000,0.1769,-0.7217,-0.1982,-0.6391
K,0.0000,0.0000,0.0000,0.9041,1.0000,0.1763,-0.7231,-0.1989,-0.6375
K,0.0000,0.0000,0.0000,0.9041,1.0000,0.1763,-0.7214,-0.1996,-0.6393
K,0.0000,0.0000,0.0000,0.9266,1.0000,0.1760,-0.7212,-0.1995,-0.6396
K,0.0000,0.0000,0.0000,0.8597,1.0000,0.1755,-0.7221,-0.1989,-0.6389
K,0.0000,0.0000,0.0000,0.8567,1.0000,0.1756,-0.7215,-0.1985,-0.6397
K,0.0000,0.0000,0.0000,0.8739,1.0000,0.1755,-0.7212,-0.1982,-0.6401
K,0.0000,0.0000,0.0000,0.8845,1.0000,0.1753,-0.7206,-0.1986,-0.6407
K,0.0000,0.0000,0.0000,0.8946,1.0000,0.1755,-0.7203,-0.1990,-0.6409
K,0.0000,0.0000,0.0000,0.8934,1.0000,0.1756,-0.7202,-0.1984,-0.6412
K,0.0000,0.0000,0.0000,0.8999,1.0000,0.1755,-0.7202,-0.1980,-0.6414
K,0.0000,0.0000,0.0000,0.8934,1.0000,0.1752,-0.7193,-0.1976,-0.6425
K,0.0000,0.0000,0.0000,0.8952,1.0000,0.1751,-0.7197,-0.1978,-0.6420
K,0.0000,0.0000,0.0000,0.9035,1.0000,0.1754,-0.7200,-0.1982,-0.6415
K,0.0000,0.0000,0.0000,0.9284,1.0000,0.1758,-0.7192,-0.1982,-0.6423
K,0.0000,0.0000,0.0000,0.8715,1.0000,0.1770,-0.7186,-0.1990,-0.6424
K,0.0000,0.0000,0.0000,0.8851,1.0000,0.1780,-0.7169,-0.1997,-0.6438
K,0.0000,0.0000,0.0000,0.8733,1.0000,0.1769,-0.7184,-0.1999,-0.6423
K,0.0000,0.0000,0.0000,0.8609,1.0000,0.1770,-0.7182,-0.1997,-0.6426
K,0.0000,0.0000,0.0000,0.8638,1.0000,0.1773,-0.7177,-0.1987,-0.6434
K,0.0000,0.0000,0.0000,0.8662,1.0000,0.1760,-0.7196,-0.1982,-0.6418
K,0.0000,0.0000,0.0000,0.8697,1.0000,0.1757,-0.7181,-0.1985,-0.6435
K,0.0000,0.0000,0.0000,0.8739,1.0000,0.1757,-0.7177,-0.1984,-0.6439
K,0.0000,0.0000,0.0000,0.8893,1.0000,0.1763,-0.7170,-0.1981,-0.6447
K,0.0000,0.0000,0.0000,0.9041,1.0000,0.1755,-0.7173,-0.1962,-0.6451
K,0.0000,0.0000,0.0000,0.9290,1.0000,0.1752,-0.7183,-0.1957,-0.6442
K,0.0000,0.0000,0.0000,0.9236,1.0000,0.1738,-0.7183,-0.1951,-0.6449
K,0.0000,0.0000,0.0000,0.8964,1.0000,0.1727,-0.7197,-0.1946,-0.6437
K,0.0000,0.0000,0.0000,0.8999,1.0000,0.1735,-0.7185,-0.1948,-0.6447
K,0.0000,0.0000,0.0000,0.8999,1.0000,0.1739,-0.7185,-0.1946,-0.6447
K,0.0000,0.0000,0.0000,0.9124,1.0000,0.1739,-0.7188,-0.1951,-0.6442
K,0.0000,0.0000,0.0000,0.9248,1.0000,0.1740,-0.7173,-0.1952,-0.6459
K,0.0000,0.0000,0.0000,0.9165,1.0000,0.1732,-0.7184,-0.1951,-0.6448
K,0.0000,0.0000,0.0000,0.9295,1.0000,0.1727,-0.7185,-0.1955,-0.6448
K,0.0000,0.0000,0.0000,0.9366,1.0000,0.1729,-0.7180,-0.1951,-0.6454
K,0.0000,0.0000,0.0000,0.9408,1.0000,0.1724,-0.7190,-0.1948,-0.6445
K,0.0000,0.0000,0.0000,0.9301,1.0000,0.1720,-0.7185,-0.1953,-0.6450
K,0.0000,0.0000,0.0000,0.9319,1.0000,0.1724,-0.7172,-0.1952,-0.6464
K,0.0000,0.0000,0.0000,0.8508,1.0000,0.1720,-0.7194,-0.1952,-0.6440
K,0.0000,0.0000,0.0000,0.8419,1.0000,0.1732,-0.7188,-0.1959,-0.6442
K,0.0000,0.0000,0.0000,0.8419,1.0000,0.1732,-0.7169,-0.1953,-0.6465
K,0.0000,0.0000,0.0000,0.8366,1.0000,0.1729,-0.7178,-0.1959,-0.6454
K,0.0000,0.0000,0.0000,0.8366,1.0000,0.1736,-0.7180,-0.1970,-0.6446
K,0.0000,0.0000,0.0000,0.8384,1.0000,0.1741,-0.7175,-0.1960,-0.6453
K,0.0000,0.0000,0.0000,0.8378,1.0000,0.1739,-0.7173,-0.1954,-0.6459
K,0.0000,0.0000,0.0000,0.8342,1.0000,0.1736,-0.7175,-0.1957,-0.6455
K,0.0000,0.0000,0.0000,0.8330,1.0000,0.1732,-0.7180,-0.1956,-0.6451
K,0.0000,0.0000,0.0000,0.8307,1.0000,0.1730,-0.7177,-0.1952,-0.6457
K,0.0000,0.0000,0.0000,0.8295,1.0000,0.1731,-0.7176,-0.1950,-0.6458
K,0.0000,0.0000,0.0000,0.8295,1.0000,0.1735,-0.7173,-0.1946,-0.6462
K,0.0000,0.0000,0.0000,0.8295,1.0000,0.1737,-0.7178,-0.1949,-0.6455
K,0.0000,0.0000,0.0000,0.8295,1.0000,0.1737,-0.7176,-0.1952,-0.6456
K,0.0000,0.0000,0.0000,0.8253,1.0000,0.1739,-0.7169,-0.1953,-0.6463
K,0.0000,0.0000,0.0000,0.8242,1.0000,0.1735,-0.7173,-0.1954,-0.6459
K,0.0000,0.0000,0.0000,0.8236,1.0000,0.1732,-0.7170,-0.1960,-0.6462
K,0.0000,0.0000,0.0000,0.7922,1.0000,0.1732,-0.7167,-0.1962,-0.6464
K,0.0000,0.0000,0.0000,0.7904,1.0000,0.1729,-0.7169,-0.1965,-0.6462
K,0.0000,0.0000,0.0000,0.7910,1.0000,0.1730,-0.7160,-0.1973,-0.6469
K,0.0000,0.0000,0.0000,0.7898,1.0000,0.1733,-0.7158,-0.1974,-0.6470
K,0.0000,0.0000,0.0000,0.8218,1.0000,0.1193,-0.7181,-0.1445,-0.6702
K,0.0000,0.0000,0.0000,0.8206,1.0000,0.1182,-0.7186,-0.1448,-0.6699
K,0.0000,0.0000,0.0000,0.8283,1.0000,0.1186,-0.7194,-0.1450,-0.6688
K,0.0000,0.0000,0.0000,0.8319,1.0000,0.1195,-0.7275,-0.1461,-0.6596
K,0.0000,0.0000,0.0000,0.8307,1.0000,0.1188,-0.7307,-0.1431,-0.6569
K,0.0000,0.0000,0.0000,0.8443,1.0000,0.1218,-0.7271,-0.1322,-0.6626
K,0.0000,0.0000,0.0000,0.8413,1.0000,0.1240,-0.7296,-0.1233,-0.6611
K,0.0000,0.0000,0.0000,0.8390,1.0000,0.1239,-0.7285,-0.1236,-0.6623
K,0.0000,0.0000,0.0000,0.8390,1.0000,0.1237,-0.7256,-0.1304,-0.6642
K,0.0000,0.0000,0.0000,0.8348,1.0000,0.1214,-0.7261,-0.1341,-0.6633
K,0.0000,0.0000,0.0000,0.8324,1.0000,0.1209,-0.7249,-0.1351,-0.6646
K,0.0000,0.0000,0.0000,0.8289,1.0000,0.1216,-0.7249,-0.1362,-0.6642
K,0.0000,0.0000,0.0000,0.8283,1.0000,0.1208,-0.7268,-0.1359,-0.6624
K,0.0000,0.0000,0.0000,0.8247,1.0000,0.1212,-0.7251,-0.1351,-0.6643
K,0.0000,0.0000,0.0000,0.8242,1.0000,0.1219,-0.7255,-0.1350,-0.6637
K,0.0000,0.0000,0.0000,0.8265,1.0000,0.1218,-0.7270,-0.1355,-0.6620
K,0.0000,0.0000,0.0000,0.8218,1.0000,0.1224,-0.7250,-0.1358,-0.6640
K,0.0000,0.0000,0.0000,0.8236,1.0000,0.1224,-0.7261,-0.1353,-0.6629
K,0.0000,0.0000,0.0000,0.8218,1.0000,0.1224,-0.7263,-0.1346,-0.6630
K,0.0000,0.0000,0.0000,0.8206,1.0000,0.1226,-0.7261,-0.1339,-0.6631
K,0.0000,0.0000,0.0000,0.8218,1.0000,0.1224,-0.7280,-0.1334,-0.6613
K,0.0000,0.0000,0.0000,0.8277,1.0000,0.1224,-0.7278,-0.1332,-0.6615
K,0.0000,0.0000,0.0000,0.8236,1.0000,0.1226,-0.7280,-0.1334,-0.6613
K,0.0000,0.0000,0.0000,0.8253,1.0000,0.1219,-0.7297,-0.1332,-0.6594
K,0.0000,0.0000,0.0000,0.8253,1.0000,0.1223,-0.7286,-0.1329,-0.6606
K,0.0000,0.0000,0.0000,0.8224,1.0000,0.1226,-0.7277,-0.1324,-0.6617
K,0.0000,0.0000,0.0000,0.8247,1.0000,0.1227,-0.7314,-0.1327,-0.6575
K,0.0000,0.0000,0.0000,0.8253,1.0000,0.1224,-0.7317,-0.1332,-0.6572
K,0.0000,0.0000,0.0000,0.8230,1.0000,0.1231,-0.7300,-0.1335,-0.6589
K,0.0000,0.0000,0.0000,0.8206,1.0000,0.1226,-0.7314,-0.1331,-0.6575
K,0.0000,0.0000,0.0000,0.8265,1.0000,0.1229,-0.7318,-0.1331,-0.6570
K,0.0000,0.0000,0.0000,0.8289,1.0000,0.1237,-0.7365,-0.1326,-0.6517
K,0.0000,0.0000,0.0000,0.8259,1.0000,0.1233,-0.7378,-0.1304,-0.6508
K,0.0000,0.0000,0.0000,0.8253,1.0000,0.1252,-0.7359,-0.1290,-0.6528
K,0.0000,0.0000,0.0000,0.8236,1.0000,0.1249,-0.7385,-0.1276,-0.6502
K,0.0000,0.0000,0.0000,0.8188,1.0000,0.1247,-0.7369,-0.1275,-0.6521
K,0.0000,0.0000,0.0000,0.8165,1.0000,0.1251,-0.7352,-0.1289,-0.6536
K,0.0000,0.0000,0.0000,0.8159,1.0000,0.1239,-0.7358,-0.1296,-0.6531
K,0.0000,0.0000,0.0000,0.8153,1.0000,0.1242,-0.7335,-0.1300,-0.6555
K,0.0000,0.0000,0.0000,0.8135,1.0000,0.1241,-0.7340,-0.1296,-0.6550
K,0.0000,0.0000,0.0000,0.8153,1.0000,0.1234,-0.7352,-0.1287,-0.6540
K,0.0000,0.0000,0.0000,0.8141,1.0000,0.1237,-0.7339,-0.1277,-0.6556
K,0.0000,0.0000,0.0000,0.8165,1.0000,0.1233,-0.7344,-0.1274,-0.6552
K,0.0000,0.0000,0.0000,0.8165,1.0000,0.1228,-0.7340,-0.1281,-0.6556
K,0.0000,0.0000,0.0000,0.8141,1.0000,0.1227,-0.7318,-0.1292,-0.6578
K,0.0000,0.0000,0.0000,0.8135,1.0000,0.1221,-0.7333,-0.1299,-0.6561
K,0.0000,0.0000,0.0000,0.8117,1.0000,0.1220,-0.7327,-0.1305,-0.6567
K,0.0000,0.0000,0.0000,0.8105,1.0000,0.1226,-0.7314,-0.1312,-0.6579
K,0.0000,0.0000,0.0000,0.8105,1.0000,0.1223,-0.7324,-0.1313,-0.6569
K,0.0000,0.0000,0.0000,0.8094,1.0000,0.1224,-0.7315,-0.1310,-0.6578
K,0.0000,0.0000,0.0000,0.8105,1.0000,0.1222,-0.7325,-0.1304,-0.6569
K,0.0000,0.0000,0.0000,0.8153,1.0000,0.1222,-0.7326,-0.1295,-0.6570
K,0.0000,0.0000,0.0000,0.8159,1.0000,0.1229,-0.7316,-0.1292,-0.6580
K,0.0000,0.0000,0.0000,0.8200,1.0000,0.1230,-0.7311,-0.1294,-0.6584
K,0.0000,0.0000,0.0000,0.8176,1.0000,0.1229,-0.7304,-0.1305,-0.6591
K,0.0000,0.0000,0.0000,0.8159,1.0000,0.1225,-0.7303,-0.1310,-0.6592
K,0.0000,0.0000,0.0000,0.8153,1.0000,0.1218,-0.7300,-0.1309,-0.6596
K,0.0000,0.0000,0.0000,0.8147,1.0000,0.1220,-0.7299,-0.1310,-0.6597
K,0.0000,0.0000,0.0000,0.8153,1.0000,0.1222,-0.7297,-0.1310,-0.6600
K,0.0000,0.0000,0.0000,0.8188,1.0000,0.1217,-0.7313,-0.1307,-0.6583
K,0.0000,0.0000,0.0000,0.8230,1.0000,0.1208,-0.7338,-0.1299,-0.6558
K,0.0000,0.0000,0.0000,0.8218,1.0000,0.1215,-0.7321,-0.1297,-0.6577
K,0.0000,0.0000,0.0000,0.8224,1.0000,0.1221,-0.7320,-0.1302,-0.6575
K,0.0000,0.0000,0.0000,0.8253,1.0000,0.1207,-0.7332,-0.1302,-0.6565
K,0.0000,0.0000,0.0000,0.8230,1.0000,0.1205,-0.7311,-0.1313,-0.6586
K,0.0000,0.0000,0.0000,0.8236,1.0000,0.1202,-0.7321,-0.1322,-0.6574
K,0.0000,0.0000,0.0000,0.8289,1.0000,0.1193,-0.7321,-0.1315,-0.6577
K,0.0000,0.0000,0.0000,0.8283,1.0000,0.1198,-0.7311,-0.1312,-0.6588
K,0.0000,0.0000,0.0000,0.8336,1.0000,0.1182,-0.7352,-0.1302,-0.6547
K,0.0000,0.0000,0.0000,0.8336,1.0000,0.1171,-0.7361,-0.1285,-0.6542
K,0.0000,0.0000,0.0000,0.8307,1.0000,0.1180,-0.7350,-0.1281,-0.6553
K,0.0000,0.0000,0.0000,0.8265,1.0000,0.1184,-0.7355,-0.1282,-0.6547
K,0.0000,0.0000,0.0000,0.8253,1.0000,0.1185,-0.7346,-0.1287,-0.6556
K,0.0000,0.0000,0.0000,0.8247,1.0000,0.1193,-0.7334,-0.1297,-0.6566
K,0.0000,0.0000,0.0000,0.8253,1.0000,0.1192,-0.7341,-0.1290,-0.6560
K,0.0000,0.0000,0.0000,0.8342,1.0000,0.1194,-0.7340,-0.1281,-0.6562
K,0.0000,0.0000,0.0000,0.8508,1.0000,0.1195,-0.7352,-0.1276,-0.6549
K,0.0000,0.0000,0.0000,0.8449,1.0000,0.1195,-0.7348,-0.1271,-0.6555
K,0.0000,0.0000,0.0000,0.8413,1.0000,0.1202,-0.7343,-0.1277,-0.6558
K,0.0000,0.0000,0.0000,0.8396,1.0000,0.1203,-0.7359,-0.1284,-0.6538
K,0.0000,0.0000,0.0000,0.8342,1.0000,0.1204,-0.7346,-0.1290,-0.6551
K,0.0000,0.0000,0.0000,0.8330,1.0000,0.1207,-0.7350,-0.1300,-0.6544
K,0.0000,0.0000,0.0000,0.8313,1.0000,0.1202,-0.7357,-0.1295,-0.6538
K,0.0000,0.0000,0.0000,0.8378,1.0000,0.1209,-0.7365,-0.1298,-0.6529
K,0.0000,0.0000,0.0000,0.8407,1.0000,0.1206,-0.7394,-0.1301,-0.6495
K,0.0000,0.0000,0.0000,0.8372,1.0000,0.1207,-0.7399,-0.1317,-0.6486
K,0.0000,0.0000,0.0000,0.8354,1.0000,0.1207,-0.7396,-0.1323,-0.6488
K,0.0000,0.0000,0.0000,0.8378,1.0000,0.1204,-0.7412,-0.1323,-0.6470
K,0.0000,0.0000,0.0000,0.8307,1.0000,0.1209,-0.7407,-0.1320,-0.6476
K,0.0000,0.0000,0.0000,0.8330,1.0000,0.1213,-0.7398,-0.1315,-0.6486
K,0.0000,0.0000,0.0000,0.8277,1.0000,0.1215,-0.7401,-0.1310,-0.6483
K,0.0000,0.0000,0.0000,0.8271,1.0000,0.1216,-0.7395,-0.1307,-0.6490
K,0.0000,0.0000,0.0000,0.8242,1.0000,0.1220,-0.7391,-0.1309,-0.6494
K,0.0000,0.0000,0.0000,0.8242,1.0000,0.1215,-0.7406,-0.1315,-0.6476
K,0.0000,0.0000,0.0000,0.8200,1.0000,0.1214,-0.7399,-0.1317,-0.6484
K,0.0000,0.0000,0.0000,0.8188,1.0000,0.1219,-0.7393,-0.1320,-0.6490
K,0.0000,0.0000,0.0000,0.8182,1.0000,0.1217,-0.7405,-0.1320,-0.6476
K,0.0000,0.0000,0.0000,0.8212,1.0000,0.1220,-0.7397,-0.1321,-0.6484
K,0.0000,0.0000,0.0000,0.8182,1.0000,0.1219,-0.7405,-0.1321,-0.6475
K,0.0000,0.0000,0.0000,0.8171,1.0000,0.1215,-0.7407,-0.1318,-0.6475
K,0.0000,0.0000,0.0000,0.8159,1.0000,0.1218,-0.7404,-0.1319,-0.6477
K,0.0000,0.0000,0.0000,0.8153,1.0000,0.1219,-0.7408,-0.1321,-0.6472
K,0.0000,0.0000,0.0000,0.8159,1.0000,0.1219,-0.7405,-0.1320,-0.6476
K,0.0000,0.0000,0.0000,0.8141,1.0000,0.1225,-0.7398,-0.1321,-0.6483
K,0.0000,0.0000,0.0000,0.8141,1.0000,0.1218,-0.7411,-0.1321,-0.6469
K,0.0000,0.0000,0.0000,0.8171,1.0000,0.1220,-0.7401,-0.1319,-0.6480
K,0.0000,0.0000,0.0000,0.8123,1.0000,0.1224,-0.7401,-0.1323,-0.6479
K,0.0000,0.0000,0.0000,0.8135,1.0000,0.1216,-0.7411,-0.1324,-0.6468
K,0.0000,0.0000,0.0000,0.8135,1.0000,0.1219,-0.7394,-0.1326,-0.6487
K,0.0000,0.0000,0.0000,0.8188,1.0000,0.1223,-0.7396,-0.1331,-0.6484
K,0.0000,0.0000,0.0000,0.8467,1.0000,0.1220,-0.7407,-0.1332,-0.6472
K,0.0000,0.0000,0.0000,0.8407,1.0000,0.1266,-0.7366,-0.1297,-0.6516
K,0.0000,0.0000,0.0000,0.8354,1.0000,0.1321,-0.7308,-0.1082,-0.6609
K,0.0000,0.0000,0.0000,0.8307,1.0000,0.1348,-0.7291,-0.0926,-0.6646
K,0.0000,0.0000,0.0000,0.8289,1.0000,0.1361,-0.7267,-0.0958,-0.6664
K,0.0000,0.0000,0.0000,0.8271,1.0000,0.1348,-0.7283,-0.1069,-0.6633
K,0.0000,0.0000,0.0000,0.8242,1.0000,0.1321,-0.7315,-0.1096,-0.6599
K,0.0000,0.0000,0.0000,0.8218,1.0000,0.1312,-0.7320,-0.1068,-0.6599
K,0.0000,0.0000,0.0000,0.8200,1.0000,0.1310,-0.7332,-0.1067,-0.6586
K,0.0000,0.0000,0.0000,0.8165,1.0000,0.1293,-0.7347,-0.1085,-0.6571
K,0.0000,0.0000,0.0000,0.8165,1.0000,0.1282,-0.7340,-0.1111,-0.6576
K,0.0000,0.0000,0.0000,0.8159,1.0000,0.1273,-0.7354,-0.1113,-0.6563
K,0.0000,0.0000,0.0000,0.8153,1.0000,0.1272,-0.7346,-0.1111,-0.6571
K,0.0000,0.0000,0.0000,0.8176,1.0000,0.1274,-0.7339,-0.1118,-0.6577
K,0.0000,0.0000,0.0000,0.8111,1.0000,0.1266,-0.7358,-0.1116,-0.6559
K,0.0000,0.0000,0.0000,0.8099,1.0000,0.1270,-0.7348,-0.1126,-0.6567
K,0.0000,0.0000,0.0000,0.8099,1.0000,0.1269,-0.7357,-0.1140,-0.6555
K,0.0000,0.0000,0.0000,0.8088,1.0000,0.1263,-0.7362,-0.1142,-0.6550
